id,nama_lokasi,alamat,fixed_latitude,fixed_longitude,jenis,new_latitude,new_longitude
63,Teluk Semangka,"Lampung, Lampung",-5.4750492,105.3232681,1,-5.4750492,105.3232681
64,taman nasional,"Lampung, Lampung",-5.0,105.0,1,-5.0,105.0
65,Gunung Agung,"Lampung, Lampung",-4.4663149,105.1038634,1,-4.4663149,105.1038634
66,Gunung Haji,"Lampung, Lampung",-5.0646568,104.9566433,1,-5.0646568,104.9566433
67,Teluk Dalem Ilir,"Lampung, Lampung",-4.7778168,105.4542727,1,-4.7778168,105.4542727
68,Gunung Batin Baru,"Lampung, Lampung",-4.7386611,105.2411735,1,-4.7386611,105.2411735
69,Gunung Batin Ilir,"Lampung, Lampung",-4.653248,105.2690325,1,-4.653248,105.2690325
70,Gunung Batin Udik,"Lampung, Lampung",-4.6915898,105.2221731,1,-4.6915898,105.2221731
71,Bukit Kemuning,"Lampung, Lampung",-4.8600688,104.5719299,1,-4.8600688,104.5719299
72,Gunung Betuah,"Lampung, Lampung",-4.8361266,104.7041012,1,-4.8361266,104.7041012
73,Campang Gijul,"Lampung, Lampung",-4.9803161,104.7226258,1,-4.9803161,104.7226258
74,Ogan Campang,"Lampung, Lampung",-5.0161122,104.7365691,1,-5.0161122,104.7365691
75,Sinar Gunung,"Lampung, Lampung",-5.0037878,104.7244765,1,-5.0037878,104.7244765
76,Gunung Besar,"Lampung, Lampung",-4.9093124,104.7597313,1,-4.9093124,104.7597313
77,Gunung Gijul,"Lampung, Lampung",-4.9857702,104.7386558,1,-4.9857702,104.7386558
78,Gunung Sadar,"Lampung, Lampung",-4.9633865,104.7249737,1,-4.9633865,104.7249737
79,Curup Guruh Kagungan,"Lampung, Lampung",-4.8959394,104.8506869,1,-4.8959394,104.8506869
80,Taman Jaya,"Lampung, Lampung",-4.9439053,104.8739316,1,-4.9439053,104.8739316
81,Gunung Maknibai,"Lampung, Lampung",-4.8177775,104.7093834,1,-4.8177775,104.7093834
82,Gunung Raja,"Lampung, Lampung",-4.7893524,104.7228372,1,-4.7893524,104.7228372
83,Gunung Labuhan,"Lampung, Lampung",-4.7582713,104.5971111,1,-4.7582713,104.5971111
84,Negeri Campang Jaya,"Lampung, Lampung",-4.7205458,104.7585757,1,-4.7205458,104.7585757
85,Gunung Katon,"Lampung, Lampung",-5.0209942,104.716843,1,-5.0209942,104.716843
86,Gunung Ratu,"Lampung, Lampung",-4.3464363,104.7823894,1,-4.3464363,104.7823894
87,Campang Delapan,"Lampung, Lampung",-4.8557359,104.5520175,1,-4.8557359,104.5520175
88,Gunung Katun,"Lampung, Lampung",-4.6501531,104.5478267,1,-4.6501531,104.5478267
89,Campur Asri,"Lampung, Lampung",-4.7266344,104.5447363,1,-4.7266344,104.5447363
90,Taman Asri,"Lampung, Lampung",-5.0271314,105.5037537,1,-5.0271314,105.5037537
91,Gunung Sangkaran,"Lampung, Lampung",-4.501461,104.4752753,1,-4.501461,104.4752753
92,Curup Patah,"Lampung, Lampung",-4.6868004,104.6394965,1,-4.6868004,104.6394965
93,Gunung Baru,"Lampung, Lampung",-4.7848843,104.5962902,1,-4.7848843,104.5962902
94,Pulau Batu,"Lampung, Lampung",-4.5322724,104.6175821,1,-4.5322724,104.6175821
95,Gunung Cahya,"Lampung, Lampung",-4.3464363,104.7823894,1,-4.3464363,104.7823894
96,Gunung Waras,"Lampung, Lampung",-4.3618105,104.7971837,1,-4.3618105,104.7971837
97,Bukit Gemuruh,"Lampung, Lampung",-4.4821422,104.3596792,1,-4.4821422,104.3596792
98,Bukit Harapan,"Lampung, Lampung",-4.4854228,104.334185,1,-4.4854228,104.334185
