nama,alamat,lat,long
Bakso Upil,"Bakso Upil, Jalan Ikan Tenggiri, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.447004,105.262257
Ayam Surya,"Ayam Surya, Jalan Ikan Tenggiri, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.446847,105.262255
El's Coffee Roastery,"El's Coffee Roastery, Jalan Bypass Sukarno Hatta, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.393828,105.288747
Soto Ayam Lamongan,"Soto Ayam Lamongan, Jalan Bypass Sukarno Hatta, Sukarame, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.395807,105.289654
Rumah Makan Kusumo Ayu II,"Rumah Makan Kusumo Ayu II, Jalan Bypass Sukarno Hatta, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.387984,105.287831
Rumah Makan Sarang Seafood,"Rumah Makan Sarang Seafood, Jalan Endro Suratmin, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.387201,105.291585
El's Coffee Roastery,"El's Coffee Roastery, Jalan Bypass Sukarno Hatta, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.393329,105.288732
Pondok Sate Sutan Mudo,"Pondok Sate Sutan Mudo, Gang Waru IV, Sukabumi Indah, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.395886,105.290125
Nasi Uduk Mama Fina,"Nasi Uduk Mama Fina, Jalan Wiratama, Sukabumi Indah, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.393992,105.290163
Nasi Uduk Hendri,"Nasi Uduk Hendri, Jalan Bypass Sukarno Hatta, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.396174,105.289275
Warung Sehabat,"Warung Sehabat, Jalan Bypass Sukarno Hatta, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.393862,105.289408
Warung Sate Madura,"Warung Sate Madura, Jalan Urip Sumoharjo, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.38997,105.287858
Rumah Makan Abah Roh,"Rumah Makan Abah Roh, Gang Urip Sentosa I, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.386186,105.2898
Mie Tektek Oerip,"Mie Tektek Oerip, Jalan Urip Sumoharjo, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.390501,105.286585
Ayam Penyet Ria,"Ayam Penyet Ria, Jalan Urip Sumoharjo, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.391566,105.285824
Mie Ayam Majalengka,"Mie Ayam Majalengka, Jalan Ikan Jelabat, Bumi Waras, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.444598,105.270292
Kantin Pepes Che Nia,"Kantin Pepes Che Nia, Jalan Hasanuddin, Kupang Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.44126,105.266003
Bakso Remaja,"Bakso Remaja, Hasanuddin, Bumi Waras, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.446979,105.270027
Rumah Makan Hoki,"Rumah Makan Hoki, Jalan Mayor Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.443507,105.273073
Mie Celor Nasi Kuning Wong Kito,"Mie Celor Nasi Kuning Wong Kito, Jalan Cumi-Cumi, Bumi Waras, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.444331,105.271042
Pempek 40,"Pempek 40, Gang Dahlia, Kupang Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.439687,105.268201
Radja Sop Durian,"Radja Sop Durian, Jalan Hasanuddin, Kupang Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.442419,105.266969
Pempek Pak Saleh,"Pempek Pak Saleh, Jalan Hasanuddin, Kupang Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.441727,105.2667
Bakso Bakar AHDA,"Bakso Bakar AHDA, Jalan Hasanuddin, Kupang Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.440153,105.26603
Soto Mas No,"Soto Mas No, Hasanuddin, Bumi Waras, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.445685,105.26993
Dang Lupa Masakan Alin,"Dang Lupa Masakan Alin, Hasanuddin, Bumi Waras, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.44571,105.269641
Nasi Uduk Fathir,"Nasi Uduk Fathir, Jalan Wage Rudolf Supratman, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.443555,105.271339
RM Minang Indah VII,"RM Minang Indah VII, Jalan Yos Soedarso, Sukaraja, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.445829,105.275139
Pempek 91,"Pempek 91, Jalan Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.439748,105.267942
Rizkitch Bowl,"Rizkitch Bowl, Gang Pancurmas, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.442688,105.27117
Mie Ayam Intan,"Mie Ayam Intan, Jalan Mayor Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.442705,105.273103
Sate Jhon,"Sate Jhon, Jalan Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.442093,105.272638
Khuai Lok (A PHEN),"Khuai Lok (A PHEN), Jalan Laksamana Malahayati, Bumi Waras, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.447138,105.270428
Tiga Saudara Sop Kaki Kambing,"Tiga Saudara Sop Kaki Kambing, Hasanuddin, Bumi Waras, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.44633,105.270095
El's Coffee House,"El's Coffee House, Jalan Mayor Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.443358,105.272735
Pempek Selamat,"Pempek Selamat, Jalan Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.439837,105.268715
RM Padang Desta,"RM Padang Desta, Jalan Laksamana Malahayati, Bumi Waras, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.446232,105.271573
Warung Bu Atun,"Warung Bu Atun, Gang Kantor Pos, Kupang Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.442649,105.268661
Aloy Sekba,"Aloy Sekba, Hasanuddin, Bumi Waras, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.446548,105.26987
Gedung Seruit LPMP,"Gedung Seruit LPMP, Jalan Way Rarem, Tanjung Gading, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.430134,105.274167
Kampung Kecil Lampung,"Kampung Kecil Lampung, Jalan Gatot Soebroto, Garuntang, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.428643,105.275406
Pempek & Mie,"Pempek & Mie, Jalan Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.441617,105.271732
Bubur Cirebon,"Bubur Cirebon, Jalan Mayor Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.444981,105.273095
Warung Sop Kaki Sapi,"Warung Sop Kaki Sapi, Jalan Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.441712,105.272174
Seblak/Mie Ayam Alika,"Seblak/Mie Ayam Alika, Gang Dahlia, Kupang Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.439771,105.26833
RM Way Giham,"RM Way Giham, Jalan Way Giham, Tanjung Gading, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.430767,105.272828
Seblak Teh Neng,"Seblak Teh Neng, Jalan Yos Soedarso, Bumi Waras, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.446241,105.273941
Bakso Urip,"Bakso Urip, Jalan Mayor Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.443428,105.273057
Rumah Seblak,"Rumah Seblak, Jalan Ikan Kapasan, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.44057,105.275035
Dapur Buncit,"Dapur Buncit, Jalan Kyai Haji Ahmad Dahlan, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.435708,105.273911
Risolcoklat Mamahmuda,"Risolcoklat Mamahmuda, Jalan Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.441192,105.271151
Pempek Nony 168,"Pempek Nony 168, Jalan Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.441772,105.271845
Pempek 88,"Pempek 88, Jalan Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.439508,105.269059
Martabak Along 89,"Martabak Along 89, Gang Cendana 2, Bumi Waras, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.446222,105.275228
Mie Ayam Asli Wong Jawa,"Mie Ayam Asli Wong Jawa, Jalan Menteru, Tanjung Gading, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.430329,105.2758
Soto &Sempol Ibu Rodiah,"Soto &Sempol Ibu Rodiah, Jalan Ikan Kapasan, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.440307,105.274896
Bubur Ayam Maya,"Bubur Ayam Maya, Jalan Mayor Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.444883,105.273084
Mie Ayam Ajan 11,"Mie Ayam Ajan 11, Jalan Mayor Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.444098,105.27301
Kantin 125,"Kantin 125, Jalan Kyai Haji Ahmad Dahlan, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.440628,105.274293
RM Ibu Gambreng,"RM Ibu Gambreng, Jalan Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.439601,105.269204
Kedai Tang,"Kedai Tang, Jalan Salim Batubara, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.439284,105.266956
Pork You,"Pork You, Jalan Kyai Haji Ahmad Dahlan, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.433212,105.273293
Salah Buah Zeline,"Salah Buah Zeline, Gang Menang, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.441308,105.273
Nasi Goreng Dayat,"Nasi Goreng Dayat, Gang Anggrek Tou, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.440914,105.270901
Resto Kriting,"Resto Kriting, Jalan Gatot Soebroto, Garuntang, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.429134,105.275844
Xi Bo ba Bening,"Xi Bo ba Bening, Jalan Gatot Soebroto, Garuntang, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.426899,105.276052
Seblak King,"Seblak King, Jalan Kyai Haji Ahmad Dahlan, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.441984,105.273103
Dapur Kito,"Dapur Kito, Jalan Gatot Soebroto, Garuntang, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.427243,105.275584
Mie Ayam Grace,"Mie Ayam Grace, Gang Akasia, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.439761,105.269641
RM Pindang Kahud,"RM Pindang Kahud, Jalan Kyai Haji Ahmad Dahlan, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.432341,105.272224
Otak otak bakar madam,"Otak otak bakar madam, Jalan Ikan Kapasan, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.442033,105.274167
MartabakMini Kabitha,"MartabakMini Kabitha, Jalan Ikan Baung, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.442238,105.273318
Bubur Ayam Ayung JR,"Bubur Ayam Ayung JR, Jalan Kyai Haji Ahmad Dahlan, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.441203,105.273692
Naem Roti Bakar Premium,"Naem Roti Bakar Premium, Jalan Ikan Kapasan, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.442202,105.274085
Seblak kupang 21,"Seblak kupang 21, Gang Menang, Pecoh Raya, Bandar Lampung, Lampung, Sumatra, 35211, Indonesia",-5.440955,105.273155
Pindang Palembang Debus,"Pindang Palembang Debus, Jalan Way Rarem, Tanjung Gading, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.430082,105.275343
Saung Pepes Teh Ani,"Saung Pepes Teh Ani, Jalan Merawan, Tanjung Gading, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.429486,105.275898
Holycow Steak House,"Holycow Steak House, Jalan Gatot Soebroto, Garuntang, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.426883,105.275522
Ayam Nyelekit,"Ayam Nyelekit, Jalan Way Giham, Tanjung Gading, Bandar Lampung, Lampung, Sumatra, 35228, Indonesia",-5.431055,105.272383
Ayam Geprek Zaki,"Ayam Geprek Zaki, Gang Boni, Gunung Sari, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.408395,105.262542
Bakso Marem,"Bakso Marem, Jalan Pemuda, Gunung Sari, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.411794,105.259927
Seblak Bandung Cece,"Seblak Bandung Cece, Jalan Hayam Wuruk, Gunung Sari, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.410185,105.262178
Kangen Crepes,"Kangen Crepes, Gang Tewax I, Gunung Sari, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.41186,105.260151
Pempek Palembang 33,"Pempek Palembang 33, Jalan Hayam Wuruk, Gunung Sari, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.408941,105.261564
Nasi Uduk Zaki,"Nasi Uduk Zaki, Gang Boni, Gunung Sari, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.408403,105.262621
Bakso Sony,"Bakso Sony, Jalan Pemuda, Gunung Sari, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.411942,105.260524
Lesehan Jeng Sri,"Lesehan Jeng Sri, Jalan Hayam Wuruk, Gunung Sari, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.409757,105.261902
Rumah Madu Urip,"Rumah Madu Urip, Jalan Raden Pemuka, Jagabaya II, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.391767,105.274965
Taican & Ayam Geprek Pemuka,"Taican & Ayam Geprek Pemuka, Jalan Raden Pemuka, Jagabaya II, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.391318,105.275073
RM Ajib Lampung,"RM Ajib Lampung, Jalan Mohammad Kahfi Baginda, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.391662,105.278084
Rumah Freya,"Rumah Freya, Jalan Urip Sumoharjo, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.390472,105.277561
Oerip Kantin,"Oerip Kantin, Jalan Urip Sumoharjo, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.39198,105.276825
Getuk Lindri Ibu Iwan,"Getuk Lindri Ibu Iwan, Gang Julia, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.389261,105.275723
Wayahalim,"Wayahalim, Jalan Mangga, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.38992,105.277453
Warung Makan Bu Atun,"Warung Makan Bu Atun, Pulau Batam Raya, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.389003,105.276316
Bebek Kudus Lampung,"Bebek Kudus Lampung, Jalan Urip Sumoharjo, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.391229,105.277794
Warung Makan Prasmanan Mas Yanto,"Warung Makan Prasmanan Mas Yanto, Jalan Mangga, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.38948,105.277147
Warung Makan Prasmanan,"Warung Makan Prasmanan, Pulau Batam Raya, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.389321,105.276512
Mamibee,"Mamibee, Jalan Mangga, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.389989,105.278023
Bakso Upil Lampung Walk,"Bakso Upil Lampung Walk, Urip Sumoharjo, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.390731,105.276753
Soto Ayam Cak Aris,"Soto Ayam Cak Aris, Jalan Urip Sumoharjo, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.391473,105.27991
Cafe Sultan Bang Janur,"Cafe Sultan Bang Janur, Jalan Pulau Morotai, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.392883,105.279172
Masakan Tante Gaul,"Masakan Tante Gaul, Gang Damai, Jagabaya III, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.394788,105.276263
Alshy Kitchen,"Alshy Kitchen, Jalan Raden Pemuka, Jagabaya II, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.3915,105.275219
Nasi Uduk Pecel Lele,"Nasi Uduk Pecel Lele, Pulau Batam Raya, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.384432,105.276449
Nana Catering,"Nana Catering, Jalan Raden Pemuka, Jagabaya II, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.392738,105.275398
Nasi Uduk dan Tekwan Model,"Nasi Uduk dan Tekwan Model, Gang Damai, Jagabaya III, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.394626,105.275549
Sate Obong Jai,"Sate Obong Jai, Jalan P. Buton Raya, Jagabaya III, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.395417,105.277088
Kinamona Lampung,"Kinamona Lampung, Jalan Raden Pemuka, Jagabaya III, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.393853,105.275065
Mie Ayam Morotai,"Mie Ayam Morotai, Jalan Mohammad Kahfi Baginda, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.393684,105.278257
Warung LW,"Warung LW, Jalan Pulau Morotai, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.393656,105.278781
rema Abah Misri,"rema Abah Misri, Gang Damai, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.395158,105.276957
Kirana BKR,"Kirana BKR, Jalan Pulau Morotai, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.395114,105.277375
Kedai Ibu Merry,"Kedai Ibu Merry, Jalan Pulau Buru, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.388042,105.275878
Kedai Ngemil 4M,"Kedai Ngemil 4M, Jalan Pulau Buru, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.387867,105.276059
Sate Padang Ajo Nasri,"Sate Padang Ajo Nasri, Pulau Batam Raya, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.387508,105.276433
RM Ngarsino,"RM Ngarsino, Gang P. Tabuan, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.38835,105.277581
Dapur Bulbul,"Dapur Bulbul, Gang S. Parm, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.388126,105.277137
Mie Ayam Bakso Langgeng,"Mie Ayam Bakso Langgeng, Pulau Batam Raya, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.387732,105.276392
Mie JagoLampung,"Mie JagoLampung, Jalan Griya Utama, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.384098,105.276736
Mie Keriting Medan,"Mie Keriting Medan, Jalan Ki Maja, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.385351,105.270612
Warung Enak Griya,"Warung Enak Griya, Jalan Griya Utama, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.383948,105.275278
Pempek Tenda Biru,"Pempek Tenda Biru, Jalan Ki Maja, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.386072,105.270178
Ayam Bakar Ojo Gelo,"Ayam Bakar Ojo Gelo, Jalan Ki Maja, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.386888,105.264912
Gorengan Kabita,"Gorengan Kabita, Jalan Ki Maja, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.386675,105.266014
Pempek Berkah,"Pempek Berkah, Jalan Ki Maja, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.386852,105.265281
Sate Luwes,"Sate Luwes, Jalan Ki Maja, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.385877,105.269312
Kedai Bang Meki,"Kedai Bang Meki, Jalan Griya Utama, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.384136,105.275328
Rumah CAke,"Rumah CAke, Jalan Ki Maja, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.387003,105.263158
Masakan Padang,"Masakan Padang, Jalan Ki Maja, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.387528,105.261948
Pecel Lele Cahaya Berkah,"Pecel Lele Cahaya Berkah, Jalan Ki Maja, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.386741,105.264548
Ara Tahu,"Ara Tahu, Jalan Ki Maja, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.386645,105.266092
Ayam Kremes Uhuy,"Ayam Kremes Uhuy, Jalan Urip Sumoharjo, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.386831,105.266898
Kerang Hijau Bumbu Kuning,"Kerang Hijau Bumbu Kuning, Gang Jambu, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.387267,105.266722
Serut Durian,"Serut Durian, Jalan Ki Maja, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.386077,105.27054
Kedai Ki Maja,"Kedai Ki Maja, Jalan Ki Maja, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.386318,105.269452
Pindang Pegagan Sunda,"Pindang Pegagan Sunda, Jalan Ki Maja, Jaga Baya I, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.386485,105.267093
Martabak Aqil,"Martabak Aqil, Jalan Ki Maja, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.385607,105.268253
Pempek Nadira,"Pempek Nadira, Mawar, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.38429,105.270888
Pecel Lele Zaqila,"Pecel Lele Zaqila, Jalan Ki Maja, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.386203,105.270451
Nasi Goreng Ojo Lali,"Nasi Goreng Ojo Lali, Jalan Ki Maja, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.38522,105.270861
Roti Bon;s Way Halim,"Roti Bon;s Way Halim, Jalan Ki Maja, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.386204,105.270773
Seblak Jago,"Seblak Jago, Jalan Ki Maja, Way Halim Permai, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.38512,105.270653
Mie Ayam Bakso,"Mie Ayam Bakso, Jalan Putri Balau, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35126, Indonesia",-5.410031,105.268127
Ayam Geprek Ibu Dewi,"Ayam Geprek Ibu Dewi, Jalan Mulya Jaya, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.410294,105.270745
Ayam Geprek Nasi Kuning,"Ayam Geprek Nasi Kuning, Jalan Rajawali II, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35126, Indonesia",-5.411032,105.268469
Nasi Uduk Aqila,"Nasi Uduk Aqila, Jalan Putri Balau, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35126, Indonesia",-5.410083,105.268352
TA-DAA!,"TA-DAA!, Jalan Putri Balau, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.411942,105.272044
Nasi Uduk Nyai,"Nasi Uduk Nyai, Jalan Putri Balau, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.412191,105.271951
Mi Ogan,"Mi Ogan, Gang Langgar 4, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.411131,105.273811
Bubur Ayam Mang Oyo,"Bubur Ayam Mang Oyo, Jalan Putri Balau, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.4128,105.275332
Dapur Tatu,"Dapur Tatu, Gang Batin Pemuka, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.412316,105.273553
Dpoer Suroboyo,"Dpoer Suroboyo, Jalan Putri Balau, Kedamaian, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.412277,105.277894
RM. Rantau Minang,"RM. Rantau Minang, Jalan Putri Balau, Kedamaian, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.411587,105.280254
Mie Ayam Garuntang 2,"Mie Ayam Garuntang 2, Jalan Putri Balau, Kedamaian, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.411211,105.28446
Bakso Idon,"Bakso Idon, Jalan Ridwan Rais, Kedamaian, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.404271,105.284626
Martabak Bangka,"Martabak Bangka, Jalan Putri Balau, Kedamaian, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.411572,105.280585
Baso Aci Jarkofit,"Baso Aci Jarkofit, Alimuddin Umar, Campang Raya, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.406821,105.30582
Mie Ayam 21,"Mie Ayam 21, Jalan Putri Balau, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.412719,105.276483
RM. Campang Raya,"RM. Campang Raya, Gang Seri, Campang Raya, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.407127,105.299445
Pempek Ikan Lila,"Pempek Ikan Lila, Gang Pilram Hukum, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.412366,105.276633
RM Sari Minang,"RM Sari Minang, Jalan Ridwan Rais, Kedamaian, Bandar Lampung, Lampung, Sumatra, 35122, Indonesia",-5.411222,105.285407
