id,nama_lokasi,alamat,latitude,longitude,jenis,image_filename
57,Gunung Maknibai,"Lampung, Lampung",-4.817778,104.709383,1,img_57_Gunung-Maknibai.jpg
58,Gunung Raja,"Lampung, Lampung",-4.789352,104.722837,1,img_58_Gunung-Raja.jpg
59,Gunung Labuhan,"Lampung, Lampung",-4.758271,104.597111,1,img_59_Gunung-Labuhan.jpg
60,Taman Asri,"Lampung, Lampung",-5.027131,105.503754,7,img_60_Taman-Asri.jpg
61,Curup Patah,"Lampung, Lampung",-4.6868,104.639497,1,img_61_Curup-Patah.jpg
62,Gunung Baru,"Lampung, Lampung",-4.784884,104.59629,1,img_62_Gunung-Baru.jpg
63,Pulau Batu,"Lampung, Lampung",-4.532272,104.617582,1,img_63_Pulau-Batu.jpg
64,Gunung Cahya,"Lampung, Lampung",-4.346436,104.782389,1,img_64_Gunung-Cahya.jpg
65,Bukit Gemuruh,"Lampung, Lampung",-4.482142,104.359679,1,img_65_Bukit-Gemuruh.jpg
66,Bukit Harapan,"Lampung, Lampung",-4.485423,104.334185,1,img_66_Bukit-Harapan.jpg
67,Taman Nasional Bukit Barisan Selatan,"Lampung, Lampung",-5.247257,104.149891,3,img_67_Taman-Nasional-Bukit-Barisan-Selatan.jpg
68,Taman Nasional Bukit Barisan Selatan.,"Lampung, Lampung",-5.247257,104.149891,3,img_68_Taman-Nasional-Bukit-Barisan-Selatan.jpg
69,Situs Batu Bedil,"Lampung, Lampung",-4.017344,104.984823,4,img_69_Situs-Batu-Bedil.jpg
70,Rumah Daswati,"Lampung, Lampung",-3.017344,105.984823,4,img_70_Rumah-Daswati.jpg
71,Buay Pernong,"Lampung, Lampung",-2.017344,106.984823,4,img_71_Buay-Pernong.jpg
72,Masjid Jami' Al-Anwar,"Lampung, Lampung",-1.017344,107.984823,5,img_72_Masjid-Jami-Al-Anwar.jpg
73,Taman Purbakala Pugung Raharjo,"Lampung, Lampung",-0.017344,108.984823,7,img_73_Taman-Purbakala-Pugung-Raharjo.jpg
74,"Museum Lampung (Museum Negeri Provinsi Lampung """"Ruwa Jurai"""")""","Lampung, Lampung",-5.3722293,105.2360469,4,img_74_Museum-Lampung-Museum-Negeri-Provinsi-Lampung-Ruwa-Jurai.jpg
