nama,alamat,lat,long,image_filename
Pempek Judes,"Pempek Judes, Jalan Pangeran Antasari, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.40615,105.27676,img_41_Pempek-Judes.png
Es Teler 99,"Es Teler 99, Jalan Pangeran Antasari, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.403568,105.281208,img_42_Es-Teler-99.jpg
Martabak Pecenongan,"Martabak Pecenongan, Jalan Pangeran Antasari, Tanjung Agung, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.407424,105.273811,img_43_Martabak-Pecenongan.jpeg
RM Sei Sapi Nyapi,"RM Sei Sapi Nyapi, Jalan Pangeran Antasari, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.401567,105.283535,img_44_RM-Sei-Sapi-Nyapi.jpg
Pecel Lele Pak Pon,"Pecel Lele Pak Pon, Jalan Pangeran Antasari, Tanjung Baru, Bandar Lampung, Lampung, Sumatra, 35227, Indonesia",-5.399203,105.287636,img_45_Pecel-Lele-Pak-Pon.jpg
Rumah Kayu Resto,"Rumah Kayu Resto, Jalan Arif Rahman Hakim, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.393292,105.281137,img_46_Rumah-Kayu-Resto.jpg
Sambal Pecak Bang Ucok,"Sambal Pecak Bang Ucok, Jalan Arif Rahman Hakim, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.39443,105.281601,img_47_Sambal-Pecak-Bang-Ucok.jpg
Kuliner Jogya La Rose,"Kuliner Jogya La Rose, Jalan Arif Rahman Hakim, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.39464,105.281607,img_48_Kuliner-Jogya-La-Rose.jpeg
Mie Kolong Urip,"Mie Kolong Urip, Jalan Urip Sumoharjo, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.391757,105.28077,img_49_Mie-Kolong-Urip.jpg
Sate Bontet,"Sate Bontet, Jalan Teru, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.390511,105.281564,img_50_Sate-Bontet.jpg
Rumah Bakso,"Rumah Bakso, Jalan Arif Rahman Hakim, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.392542,105.281221,img_51_Rumah-Bakso.jpg
RM Mbok Wito,"RM Mbok Wito, Jalan Akasia, Kalibalau Kencana, Bandar Lampung, Lampung, Sumatra, 35133, Indonesia",-5.386624,105.281485,img_52_RM-Mbok-Wito.jpg
Restoran Garuda,"Restoran Garuda, Jalan Cut Nyak Dhien, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.418866,105.252739,img_53_Restoran-Garuda.jpg
Mie Bandar Lampung,"Mie Bandar Lampung, Jalan Pangkal Pinang, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.411449,105.257548,img_54_Mie-Bandar-Lampung.jpg
Warunk Upnormal,Kartini,-5.419749,105.252955,img_55_Warunk-Upnormal.jpg
Suko Restauran,"Suko Restauran, Jalan Pelanduk, Surabaya, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.393711,105.261676,img_56_Suko-Restauran.jpg
Karimata Resto,"Karimata Resto, Gang Karya I, Gunung Sari, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.406412,105.258762,img_57_Karimata-Resto.jpg
Uduk Toha,"Uduk Toha, Jalan Kartini, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35121, Indonesia",-5.411855,105.256347,img_58_Uduk-Toha.jpg
Sakim Putra,"Sakim Putra, Jalan Teuku Umar, Surabaya, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.390212,105.261775,img_59_Sakim-Putra.jpg
Angkringan Mbah Warno,"Angkringan Mbah Warno, Jalan Darussalam, Surabaya, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.394036,105.262088,img_60_Angkringan-Mbah-Warno.jpg
Mie Ayam Koga,"Mie Ayam Koga, Jalan Teuku Umar, Surabaya, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.393052,105.262175,img_61_Mie-Ayam-Koga.jpg
Pempek 123,"Pempek 123, Jalan Teuku Umar, Penengahan, Bandar Lampung, Lampung, Sumatra, 35125, Indonesia",-5.39846,105.261129,img_62_Pempek-123.png
Ramen Meledak,"Ramen Meledak, Jalan Badak, Penengahan, Bandar Lampung, Lampung, Sumatra, 35112, Indonesia",-5.396195,105.261398,img_63_Ramen-Meledak.jpg
Bakmi Goreng Teroris,"Bakmi Goreng Teroris, Jalan Pelanduk, Surabaya, Bandar Lampung, Lampung, Sumatra, 35132, Indonesia",-5.39346,105.261674,img_64_Bakmi-Goreng-Teroris.jpg
Mie Surabaya,"Mie Surabaya, Jalan Danau Tondano, Surabaya, Bandar Lampung, Lampung, Sumatra, 35136, Indonesia",-5.393497,105.262091,img_65_Mie-Surabaya.jpeg
Golden Dragon Resto,"Golden Dragon Resto, Jalan Yos Soedarso, Sukaraja, Bandar Lampung, Lampung, Sumatra, 35245, Indonesia",-5.445481,105.291454,img_66_Golden-Dragon-Resto.jpg
Dimsum Sambel Mercon,"Dimsum Sambel Mercon, Jalan Profesor Mr. Haji Muhammad Yamin, Rawa Laut, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.420932,105.266895,img_67_Dimsum-Sambel-Mercon.jpg
De Flo Pudding,"De Flo Pudding, Jalan Wijaya Kesuma, Tanjung Raya, Bandar Lampung, Lampung, Sumatra, 35213, Indonesia",-5.422291,105.266783,img_68_De-Flo-Pudding.PNG
