id,nama_lokasi,alamat,latitude,longitude,jenis
88,Gunung Katun,"Lampung, Lampung",-4.650153,104.547827,1
89,Campur Asri,"Lampung, Lampung",-4.726634,104.544736,1
90,Taman Asri,"Lampung, Lampung",-5.027131,105.503754,1
91,Gunung Sangkaran,"Lampung, Lampung",-4.501461,104.475275,1
92,Curup Patah,"Lampung, Lampung",-4.6868,104.639497,1
93,Gunung Baru,"Lampung, Lampung",-4.784884,104.59629,1
94,Pulau Batu,"Lampung, Lampung",-4.532272,104.617582,1
95,Gunung Cahya,"Lampung, Lampung",-4.346436,104.782389,1
96,Gunung Waras,"Lampung, Lampung",-4.36181,104.797184,1
97,Bukit Gemuruh,"Lampung, Lampung",-4.482142,104.359679,1
98,Bukit Harapan,"Lampung, Lampung",-4.485423,104.334185,1
99,Gunung Tapa,"Lampung, Lampung",-4.396951,105.553868,1
100,Gunung Tapa Ilir,"Lampung, Lampung",-4.397395,105.607523,1
101,Ujung Gunung Ilir,"Lampung, Lampung",-4.559285,105.20383,1
102,Ujung Gunung,"Lampung, Lampung",-4.484375,105.262883,1
103,hutan,"Lampung, Lampung",-5.380202,105.28224,1
104,Sidang Gunung Tiga,"Lampung, Lampung",-4.207677,105.545902,1
105,Gunung Katun Malai,"Lampung, Lampung",-4.550031,104.980528,1
106,Gunung Katun Tanjungan,"Lampung, Lampung",-4.544571,105.01875,1
107,Gunung Menanti,"Lampung, Lampung",-4.749216,105.1619,1
108,Gunung Timbul,"Lampung, Lampung",-4.694956,105.110983,1
109,Taman Nasional Bukit Barisan Selatan,"Lampung, Lampung",-5.247257,104.149891,1
110,Taman Nasional Bukit Barisan Selatan.,"Lampung, Lampung",-5.247257,104.149891,1
111,Pagar Bukit,"Lampung, Lampung",-5.541843,104.294077,1
112,Pagar Bukit Induk,"Lampung, Lampung",-5.60063,104.340589,1
113,Gunung Kemala,"Lampung, Lampung",-5.017344,103.984823,1
114,Situs Batu Bedil,"Lampung, Lampung",-4.017344,104.984823,4
115,Rumah Daswati,"Lampung, Lampung",-3.017344,105.984823,4
116,Buay Pernong,"Lampung, Lampung",-2.017344,106.984823,4
117,Masjid Jami' Al-Anwar,"Lampung, Lampung",-1.017344,107.984823,4
118,Taman Purbakala Pugung Raharjo,"Lampung, Lampung",-0.017344,108.984823,4
119,"Museum Lampung (Museum Negeri Provinsi Lampung ""Ruwa Jurai"")","Lampung, Lampung",-5.3722293,105.2360469,4
120,Gedong Aer,"Lampung, Lampung",1.982656,110.984823,4
121,Vihara Thay Hin Bio,"Lampung, Lampung",2.982656,111.984823,4
122,Istana Sekala Brak,"Lampung, Lampung",3.982656,112.984823,4
123,Goa Warak,"Lampung, Lampung",4.982656,113.984823,4
124,Situs Batu Berak,"Lampung, Lampung",5.982656,114.984823,4
125,Masjid Agung Al-Furqon,"Lampung, Lampung",6.982656,115.984823,4
126,Menara Siger,"Lampung, Lampung",7.982656,116.984823,4
127,Nuwo Sesat Olok Gading,"Lampung, Lampung",8.982656,117.984823,4
128,Benteng Marlborough,"Lampung, Lampung",9.982656,118.984823,4
129,Situs Megalitik Batu Brak,"Lampung, Lampung",10.982656,119.984823,4
130,Makam Raden Intan II,"Lampung, Lampung",11.982656,120.984823,4
131,Masjid Kubah Intan,"Lampung, Lampung",12.982656,121.984823,4
132,Taman Budaya Lampung,"Lampung, Lampung",13.982656,122.984823,4
133,Museum Mahkota Dipuncak Nur,"Lampung, Lampung",14.982656,123.984823,4
134,Rumah Adat Jajar Intan,"Lampung, Lampung",15.982656,124.984823,4
135,Rumah Daswati,"Lampung, Lampung",16.982656,125.984823,4
136,Situs Prasasti Palas Pasemah,"Lampung, Lampung",17.982656,126.984823,4
