id,nama+AF8-lokasi,alamat,latitude,longitude
64,taman nasional,+ACI-Lampung, Lampung+ACI-,+AC0-5.2472574,104.149891043564
65,Gunung Agung,+ACI-Lampung, Lampung+ACI-,+AC0-4.4663149,105.1038634
66,Gunung Haji,+ACI-Lampung, Lampung+ACI-,+AC0-5.0646568,104.9566433
67,Teluk Dalem Ilir,+ACI-Lampung, Lampung+ACI-,+AC0-4.7778168,105.4542727
68,Gunung Batin Baru,+ACI-Lampung, Lampung+ACI-,+AC0-4.7386611,105.2411735
69,Gunung Batin Ilir,+ACI-Lampung, Lampung+ACI-,+AC0-4.653248,105.2690325
70,Gunung Batin Udik,+ACI-Lampung, Lampung+ACI-,+AC0-4.6915898,105.2221731
71,Bukit Kemuning,+ACI-Lampung, Lampung+ACI-,+AC0-4.8600688,104.5719299
72,Gunung Betuah,+ACI-Lampung, Lampung+ACI-,+AC0-4.8361266,104.7041012
73,Campang Gijul,+ACI-Lampung, Lampung+ACI-,+AC0-4.9803161,104.7226258
74,Ogan Campang,+ACI-Lampung, Lampung+ACI-,+AC0-5.0161122,104.7365691
75,Sinar Gunung,+ACI-Lampung, Lampung+ACI-,+AC0-5.0037878,104.7244765
76,Gunung Besar,+ACI-Lampung, Lampung+ACI-,+AC0-4.9093124,104.7597313
77,Gunung Gijul,+ACI-Lampung, Lampung+ACI-,+AC0-4.9857702,104.7386558
78,Gunung Sadar,+ACI-Lampung, Lampung+ACI-,+AC0-4.9633865,104.7249737
79,Curup Guruh Kagungan,+ACI-Lampung, Lampung+ACI-,+AC0-4.8959394,104.8506869
80,Taman Jaya,+ACI-Lampung, Lampung+ACI-,+AC0-4.9439053,104.8739316
81,Gunung Maknibai,+ACI-Lampung, Lampung+ACI-,+AC0-4.8177775,104.7093834
82,Gunung Raja,+ACI-Lampung, Lampung+ACI-,+AC0-4.7893524,104.7228372
83,Gunung Labuhan,+ACI-Lampung, Lampung+ACI-,+AC0-4.7582713,104.5971111
84,Negeri Campang Jaya,+ACI-Lampung, Lampung+ACI-,+AC0-4.7205458,104.7585757
85,Gunung Katon,+ACI-Lampung, Lampung+ACI-,+AC0-5.0209942,104.716843
86,Gunung Ratu,+ACI-Lampung, Lampung+ACI-,+AC0-4.3464363,104.7823894
87,Campang Delapan,+ACI-Lampung, Lampung+ACI-,+AC0-4.8557359,104.5520175
88,Gunung Katun,+ACI-Lampung, Lampung+ACI-,+AC0-4.6501531,104.5478267
89,Campur Asri,+ACI-Lampung, Lampung+ACI-,+AC0-4.7266344,104.5447363
90,Taman Asri,+ACI-Lampung, Lampung+ACI-,+AC0-5.0271314,105.5037537
91,Gunung Sangkaran,+ACI-Lampung, Lampung+ACI-,+AC0-4.501461,104.4752753
